adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,275,63,19.9905379,17.5,High School or Less,"(1500,2000]",1,3,37,0,Independent,Arizona
Adopter,180,97,17.2770336,175,Some College,"(2000,3000]",1,2,46,0,Republican,California
Adopter,500,250,18.700047,17.5,Bachelor Degree,"(1500,2000]",1,3,40,0,Republican,California
Non-adopter,63,63,17.516009,17.5,Some College,"(1000,1500]",0,1,65,1,Democrat,California
Adopter,300,200,17.0682681,125,Graduate Degree,"(1000,1500]",1,2,47,0,Republican,California
Non-adopter,300,250,14.1829227,125,Bachelor Degree,"(1000,1500]",1,3,30,0,Independent,New York
Non-adopter,38,275,13.3676,62.5,High School or Less,"(1000,1500]",1,2,37,0,Democrat,New York
Adopter,625,275,19.4651838,87.5,Bachelor Degree,"(3000,4000]",0,2,68,1,Republican,California
Non-adopter,125,63,19.9905379,87.5,High School or Less,"(2000,3000]",0,2,75,1,Democrat,Arizona
Non-adopter,18,38,17.1184243,17.5,Some College,"(1000,1500]",0,1,60,0,Independent,California
Non-adopter,275,225,19.2908626,125,Graduate Degree,"(2000,3000]",0,2,59,0,Democrat,California
Adopter,330,235,17.0682681,37.5,Some College,"(1500,2000]",0,2,67,1,Republican,California
Non-adopter,38,63,18.700047,125,Some College,"(1500,2000]",0,2,75,1,Republican,California
Non-adopter,450,375,18.5442682,250,High School or Less,"(2000,3000]",0,3,52,0,Democrat,California
Non-adopter,90,60,18.4697327,87.5,Bachelor Degree,"(1500,2000]",0,2,34,0,Republican,Arizona
Non-adopter,325,175,14.287465,250,Graduate Degree,"(2000,3000]",0,2,70,0,Independent,New York
Non-adopter,125,63,18.700047,125,Bachelor Degree,"(2000,3000]",0,2,41,0,Republican,California
Non-adopter,325,88,14.1406168,125,Bachelor Degree,"(3000,4000]",0,2,65,1,Democrat,New Jersey
Adopter,130,130,18.4697327,62.5,Some College,"(1500,2000]",0,2,52,0,Independent,Arizona
Adopter,287,90,17.7295933,62.5,Bachelor Degree,"(1000,1500]",0,3,60,0,Democrat,California
Adopter,300,300,18.2273476,250,Bachelor Degree,"(2000,3000]",0,3,55,0,Democrat,California
Non-adopter,70,115,18.700047,87.5,Graduate Degree,"(0,1000]",0,1,57,1,Democrat,California
Adopter,300,180,18.1662272,125,Some College,"(3000,4000]",0,1,51,0,Republican,California
Non-adopter,150,120,14.5694684,125,Some College,"(4000,5000+]",1,2,43,0,Republican,New Jersey
Non-adopter,63,125,17.7295933,350,Graduate Degree,"(2000,3000]",0,2,65,0,Democrat,California
Non-adopter,375,125,14.192373,87.5,Graduate Degree,"(1000,1500]",1,2,31,0,Independent,New Jersey
Adopter,70,100,17.3227205,175,Bachelor Degree,"(1500,2000]",0,2,60,0,Democrat,California
Adopter,450,200,17.1992868,125,Bachelor Degree,"(2000,3000]",1,2,53,0,Republican,California
Adopter,270,260,13.7376053,175,High School or Less,"(2000,3000]",0,3,43,0,Democrat,New Jersey
Non-adopter,275,275,14.18903,62.5,Some College,"(1500,2000]",0,2,61,1,Republican,New Jersey
Adopter,350,30,18.4697327,62.5,Some College,"(1500,2000]",0,1,45,0,Republican,Arizona
Non-adopter,80,100,13.648607,125,Graduate Degree,"(2000,3000]",1,2,41,0,Democrat,New York
Adopter,300,150,18.700047,175,Bachelor Degree,"(1500,2000]",0,3,56,0,Democrat,California
Non-adopter,88,18,18.4697327,62.5,Bachelor Degree,"(1500,2000]",0,2,65,1,Democrat,Arizona
Adopter,70,110,17.2770336,62.5,Some College,"(1500,2000]",0,1,79,1,Independent,California
Adopter,60,80,17.1106164,250,Graduate Degree,"(2000,3000]",1,2,48,0,Independent,California
Non-adopter,375,175,14.4970535,125,Bachelor Degree,"(3000,4000]",0,3,57,0,Democrat,New Jersey
Non-adopter,90,100,18.2273476,87.5,Graduate Degree,"(2000,3000]",1,2,30,0,Democrat,California
Adopter,650,185,18.2302849,87.5,Bachelor Degree,"(2000,3000]",0,3,52,0,Independent,California
Adopter,350,400,17.2770336,125,Graduate Degree,"(1000,1500]",0,2,68,1,Democrat,California
Adopter,186,90,18.3624927,87.5,Some College,"(2000,3000]",0,3,52,0,Republican,California
Adopter,100,40,18.3624927,125,Bachelor Degree,"(1000,1500]",1,2,47,0,Independent,California
Adopter,250,200,17.4116604,87.5,Graduate Degree,"(1500,2000]",0,2,66,0,Independent,California
Non-adopter,175,88,18.700047,62.5,Some College,"(1000,1500]",1,3,47,0,Republican,California
Adopter,300,80,13.8040129,175,Graduate Degree,"(2000,3000]",1,3,53,0,Independent,New Jersey
Adopter,50,100,20.1207263,17.5,Some College,"(1500,2000]",0,1,55,0,Democrat,Arizona
Adopter,175,250,18.1662272,125,Some College,"(2000,3000]",0,3,56,0,Independent,California
Non-adopter,450,125,17.1962197,87.5,Some College,"(2000,3000]",0,3,46,0,Republican,California
Adopter,160,150,17.7750341,125,Bachelor Degree,"(1000,1500]",1,2,50,0,Democrat,California
Adopter,200,125,18.700047,250,Some College,"(2000,3000]",0,2,57,0,Independent,California
Adopter,150,300,17.3227205,350,Bachelor Degree,"(2000,3000]",0,2,63,0,Democrat,California
Adopter,325,285,18.4697327,37.5,Graduate Degree,"(2000,3000]",0,2,53,0,Republican,Arizona
Non-adopter,88,88,19.9905379,125,Graduate Degree,"(2000,3000]",1,2,28,0,Independent,Arizona
Non-adopter,225,125,14.1458314,37.5,Bachelor Degree,"(1500,2000]",0,3,49,0,Democrat,New Jersey
Non-adopter,250,220,13.7376053,125,Some College,"(1500,2000]",0,3,55,0,Independent,New Jersey
Non-adopter,200,35,18.4697327,37.5,Bachelor Degree,"(2000,3000]",0,2,65,1,Republican,Arizona
Non-adopter,175,125,14.1458314,125,Graduate Degree,"(1500,2000]",0,2,77,0,Democrat,New Jersey
Non-adopter,80,100,18.4697327,87.5,Bachelor Degree,"(1500,2000]",1,2,38,0,Independent,Arizona
