adopter,state,bill_win,bill_sum,cf,income,educ,sqft,kids,n_peo,age,retire,party
Adopter,California,213,242,0.182273476,62500,Some College,"(2000,3000]",0,2,82,1,Republican
Adopter,California,500,600,0.18700047,350000,Bachelor Degree,"(2000,3000]",1,3,48,0,Democrat
Adopter,California,75,60,0.183624927,87500,Some College,"(1500,2000]",1,2,58,0,Republican
Adopter,New York,300,300,0.144799344,125000,Bachelor Degree,"(2000,3000]",0,4,54,0,Independent
Adopter,California,225,135,0.177295933,175000,Bachelor Degree,"(2000,3000]",0,2,58,0,Republican
Adopter,California,85,200,0.194651838,62500,Bachelor Degree,"(1000,1500]",0,2,65,1,Republican
Adopter,New Jersey,600,300,0.140733312,87500,Graduate Degree,"(1500,2000]",0,2,65,1,Republican
Adopter,New York,1000,500,0.144799344,87500,Bachelor Degree,"(1500,2000]",1,3,32,0,Democrat
Adopter,California,100,400,0.177295933,37500,Some College,"(2000,3000]",1,2,38,0,Independent
Adopter,California,150,250,0.171992868,37500,High School or Less,"(1500,2000]",1,1,52,0,Independent
Adopter,California,120,250,0.182302849,125000,Graduate Degree,"(1500,2000]",0,2,62,1,Republican
Adopter,California,225,150,0.170696245,62500,Bachelor Degree,"(1000,1500]",1,3,70,1,Democrat
Adopter,New York,180,180,0.144799344,62500,Some College,"(1000,1500]",0,3,68,1,Independent
Adopter,California,50,120,0.182273476,350000,Bachelor Degree,"(1500,2000]",1,2,39,0,Democrat
Adopter,California,200,400,0.177295933,125000,Graduate Degree,"(2000,3000]",0,2,72,1,Republican
Adopter,California,100,300,0.172770336,62500,Some College,"(1500,2000]",0,2,67,1,Independent
Adopter,California,50,75,0.182273476,87500,Graduate Degree,"(1000,1500]",1,3,50,0,Independent
Adopter,California,150,400,0.181662272,125000,Some College,"(1500,2000]",1,2,51,0,Democrat
Adopter,New York,250,300,0.144799344,87500,Bachelor Degree,"(2000,3000]",1,4,51,0,Republican
Adopter,California,300,350,0.170696245,125000,Bachelor Degree,"(1500,2000]",0,2,67,1,Democrat
Adopter,New Jersey,110,160,0.139606699,87500,Some College,"(1500,2000]",0,2,75,1,Independent
Adopter,California,50,250,0.185442682,87500,Bachelor Degree,"(1500,2000]",1,2,45,0,Independent
Adopter,California,140,90,0.181662272,62500,Some College,"(1500,2000]",0,2,78,1,Independent
Adopter,New Jersey,300,600,0.141458314,87500,Some College,"(2000,3000]",0,2,93,1,Republican
Adopter,California,200,200,0.185442682,350000,Graduate Degree,"(2000,3000]",1,4,53,0,Independent
Adopter,New Jersey,175,300,0.141458314,175000,Graduate Degree,"(1500,2000]",1,2,47,0,Democrat
Adopter,New Jersey,90,150,0.141535368,125000,Some College,"(1500,2000]",0,3,59,0,Democrat
Adopter,New York,175,250,0.144799344,175000,Graduate Degree,"(2000,3000]",0,2,67,1,Democrat
Adopter,California,175,600,0.181662272,250000,Some College,"(2000,3000]",1,4,43,0,Republican
Adopter,California,150,350,0.192908626,87500,Some College,"(2000,3000]",0,2,33,0,Republican
Adopter,New York,377,377,0.144799344,175000,Graduate Degree,"(2000,3000]",1,4,53,0,Democrat
Adopter,New Jersey,90,175,0.150491191,62500,High School or Less,"(2000,3000]",1,1,72,1,Independent
Adopter,California,350,175,0.172770336,62500,Some College,"(1500,2000]",0,4,56,1,Democrat
Adopter,California,400,350,0.177295933,250000,Graduate Degree,"(2000,3000]",0,2,55,0,Republican
Adopter,California,175,110,0.182273476,37500,Bachelor Degree,"(2000,3000]",0,2,66,1,Republican
Adopter,New York,200,337.5,0.144799344,250000,Bachelor Degree,"(2000,3000]",1,2,41,0,Republican
Adopter,California,95,212.5,0.185312698,175000,High School or Less,"(1000,1500]",1,2,50,0,Republican
Adopter,California,160,157,0.181662272,37500,Graduate Degree,"(1000,1500]",0,2,86,1,Democrat
Adopter,California,80,120,0.181662272,37500,Graduate Degree,"(1500,2000]",0,2,61,0,Democrat
Adopter,California,250,250,0.194651838,87500,Some College,"(2000,3000]",1,2,46,0,Republican
Adopter,California,75,260,0.172770336,125000,Graduate Degree,"(1500,2000]",0,2,69,1,Independent
Adopter,California,100,75,0.183624927,62500,Bachelor Degree,"(2000,3000]",0,2,66,0,Democrat
Adopter,California,50,150,0.172975971,62500,Some College,"(1500,2000]",0,2,63,1,Republican
Adopter,New Jersey,38,160,0.139606699,125000,Some College,"(1000,1500]",1,2,41,0,Republican
Adopter,California,280,380,0.177295933,87500,Some College,"(1500,2000]",1,1,64,1,Democrat
Adopter,California,250,350,0.185312698,175000,Some College,"(1500,2000]",0,2,61,0,Republican
Adopter,California,80,100,0.177295933,125000,Bachelor Degree,"(1500,2000]",1,4,55,0,Independent
Adopter,New Jersey,109.36,109.36,0.140733312,37500,Some College,"(1500,2000]",0,1,77,1,Democrat
Adopter,California,63,225,0.183624927,87500,Graduate Degree,"(2000,3000]",0,1,77,1,Independent
Adopter,New Jersey,160,190,0.138040129,37500,High School or Less,"(0,1000]",0,2,75,0,Democrat
Adopter,California,200,400,0.181662272,87500,High School or Less,"(1500,2000]",0,2,65,1,Democrat
Adopter,California,75,250,0.17516009,175000,Graduate Degree,"(1500,2000]",0,2,60,0,Republican
Adopter,California,200,350,0.183624927,175000,Bachelor Degree,"(2000,3000]",0,2,59,0,Independent
Adopter,California,100,100,0.181662272,125000,Some College,"(1500,2000]",1,4,41,0,Republican
Adopter,New York,145,100,0.144799344,125000,Some College,"(1000,1500]",0,3,60,0,Independent
Adopter,California,200,350,0.182302849,125000,Graduate Degree,"(2000,3000]",0,2,56,0,Republican
Adopter,California,120,350,0.192908626,250000,Bachelor Degree,"(3000,4000]",1,3,44,0,Republican
Adopter,California,450,500,0.177295933,125000,Graduate Degree,"(1500,2000]",0,4,43,0,Independent
Adopter,New York,170,250,0.144799344,125000,Some College,"(1500,2000]",0,3,53,1,Republican
Adopter,California,90,130,0.183624927,87500,Bachelor Degree,"(2000,3000]",0,4,32,0,Democrat
Adopter,New York,150,500,0.144799344,87500,Bachelor Degree,"(2000,3000]",0,2,31,0,Independent
Adopter,California,70,90,0.182273476,125000,Graduate Degree,"(1500,2000]",0,2,82,1,Democrat
Adopter,New York,175,300,0.144799344,37500,Graduate Degree,"(0,1000]",0,1,63,1,Independent
Adopter,California,300,300,0.172051015,87500,Some College,"(1000,1500]",1,2,49,0,Independent
Adopter,New Jersey,120,120,0.141837344,37500,High School or Less,"(1000,1500]",0,1,58,1,Democrat
Adopter,California,240,240,0.185312698,62500,Some College,"(1500,2000]",1,4,50,0,Republican
Adopter,California,120,120,0.183624927,37500,Graduate Degree,"(1500,2000]",0,2,64,1,Independent
Adopter,New York,100,300,0.144799344,87500,Bachelor Degree,"(1500,2000]",0,3,48,0,Independent
Adopter,New York,120,190,0.144799344,37500,High School or Less,"(0,1000]",0,2,51,0,Independent
Adopter,California,300,300,0.194651838,62500,Some College,"(1000,1500]",0,2,68,0,Independent
Adopter,New York,160,380,0.144799344,87500,Some College,"(1500,2000]",0,3,53,0,Republican
Adopter,California,280,350,0.192908626,37500,High School or Less,"(2000,3000]",0,1,70,1,Independent
Adopter,California,280,300,0.172770336,87500,Some College,"(1500,2000]",1,2,45,0,Independent
Adopter,California,150,399,0.184651659,17500,High School or Less,"(1000,1500]",1,2,30,0,Democrat
Adopter,New Jersey,375,270,0.150491191,62500,High School or Less,"(1000,1500]",0,2,57,0,Republican
Adopter,California,55,60,0.183624927,87500,Bachelor Degree,"(1500,2000]",0,2,61,1,Independent
Adopter,California,200,300,0.181662272,125000,Graduate Degree,"(2000,3000]",1,3,44,0,Republican
Adopter,New York,125,300,0.144799344,37500,High School or Less,"(1000,1500]",0,2,51,1,Independent
Adopter,California,190,160,0.182273476,62500,Bachelor Degree,"(1500,2000]",1,4,67,1,Republican
Adopter,California,120,200,0.181662272,87500,Graduate Degree,"(1500,2000]",0,2,56,0,Independent
Adopter,New York,80,110,0.144799344,87500,Graduate Degree,"(0,1000]",0,3,58,0,Independent
Adopter,California,200,400,0.192908626,250000,Some College,"(2000,3000]",1,2,50,0,Republican
Adopter,New Jersey,156,150,0.141458314,62500,High School or Less,"(2000,3000]",0,1,72,1,Independent
Adopter,California,91.93,275,0.171992868,125000,Bachelor Degree,"(1500,2000]",1,1,46,0,Republican
Adopter,California,235,182,0.181662272,125000,Bachelor Degree,"(2000,3000]",0,2,55,0,Republican
Adopter,New Jersey,175,300,0.140733312,125000,Bachelor Degree,"(1500,2000]",0,1,75,1,Independent
Adopter,California,100,150,0.181662272,125000,Bachelor Degree,"(0,1000]",0,2,42,0,Democrat
Adopter,New York,200,242,0.144799344,87500,Some College,"(2000,3000]",0,3,69,1,Republican
Adopter,New York,225,38,0.144799344,87500,Some College,"(1000,1500]",0,2,51,0,Independent
Adopter,California,700,700,0.170682681,175000,Graduate Degree,"(2000,3000]",0,1,67,1,Democrat
Adopter,California,175,125,0.181662272,62500,Graduate Degree,"(1000,1500]",0,1,67,1,Republican
Adopter,California,180,500,0.170682681,87500,Graduate Degree,"(3000,4000]",1,4,51,0,Republican
Adopter,California,350,125,0.173015558,125000,Bachelor Degree,"(2000,3000]",0,2,52,0,Republican
Adopter,California,130,200,0.170682681,62500,Some College,"(1500,2000]",1,3,33,0,Republican
Adopter,California,400,225,0.177295933,125000,Some College,"(1500,2000]",1,1,34,0,Republican
Adopter,California,250,250,0.177295933,62500,Some College,"(1500,2000]",0,3,74,1,Democrat
Adopter,California,90,225,0.185312698,125000,Some College,"(1500,2000]",0,2,67,1,Republican
Adopter,New York,160,175,0.144799344,37500,High School or Less,"(1000,1500]",0,2,50,1,Democrat
Adopter,California,480,360,0.171184243,62500,Bachelor Degree,"(2000,3000]",1,2,46,0,Democrat
Adopter,California,200,350,0.18700047,37500,Some College,"(1000,1500]",0,1,86,1,Republican
Adopter,New Jersey,90,38,0.138040129,87500,Bachelor Degree,"(2000,3000]",0,2,74,1,Democrat
Adopter,California,125,217,0.181662272,125000,Graduate Degree,"(1500,2000]",0,3,55,0,Republican
Adopter,New Jersey,150,120,0.137376053,62500,Bachelor Degree,"(1000,1500]",0,3,53,0,Independent
Adopter,California,300,400,0.170682681,87500,Bachelor Degree,"(1000,1500]",1,2,36,0,Independent
Adopter,California,80,175,0.183624927,175000,Some College,"(1000,1500]",1,2,38,0,Democrat
Adopter,California,90,60,0.182273476,125000,Some College,"(1000,1500]",0,2,65,0,Democrat
Adopter,California,200,300,0.172770336,87500,Some College,"(1000,1500]",0,2,51,0,Republican
Adopter,New York,410,550,0.144799344,125000,Bachelor Degree,"(4000,5000+]",1,2,34,0,Independent
Adopter,California,250,475,0.182302849,37500,Bachelor Degree,"(1500,2000]",0,1,56,0,Independent
Adopter,New Jersey,425,280,0.14218588,125000,Graduate Degree,"(2000,3000]",0,4,64,0,Democrat
Adopter,California,300,500,0.193780232,87500,Some College,"(1500,2000]",0,3,49,0,Republican
Adopter,California,300,400,0.17516009,37500,Some College,"(2000,3000]",0,2,74,1,Democrat
Adopter,New Jersey,250,109,0.145694684,62500,High School or Less,"(1500,2000]",0,2,64,0,Democrat
Adopter,New York,200,600,0.144799344,250000,Some College,"(3000,4000]",0,4,56,0,Republican
Adopter,California,100,300,0.170682681,250000,Bachelor Degree,"(1500,2000]",0,2,57,0,Republican
Adopter,New York,125,110,0.136167158,175000,High School or Less,"(0,1000]",0,2,56,0,Independent
Adopter,California,85,65,0.183624927,62500,Graduate Degree,"(1000,1500]",0,4,79,1,Democrat
Adopter,California,200,350,0.182302849,17500,Some College,"(2000,3000]",0,3,64,1,Republican
Adopter,California,200,350,0.185442682,87500,Some College,"(1500,2000]",0,2,50,0,Independent
Adopter,New York,450,400,0.144799344,87500,Some College,"(2000,3000]",1,4,44,0,Independent
Adopter,New Jersey,200,350,0.142822257,37500,High School or Less,"(2000,3000]",1,4,71,1,Independent
Adopter,California,140,200,0.181662272,37500,Some College,"(1500,2000]",1,3,57,0,Republican
Adopter,California,110,197,0.177295933,87500,Bachelor Degree,"(1500,2000]",0,2,78,1,Republican
Adopter,California,125,175,0.183624927,125000,Some College,"(1500,2000]",0,2,48,0,Democrat
Adopter,California,65,100,0.182273476,125000,Bachelor Degree,"(1000,1500]",0,1,30,0,Democrat
Adopter,California,125,250,0.182273476,62500,Bachelor Degree,"(1500,2000]",0,3,26,0,Independent
Adopter,New York,245,315,0.144799344,175000,Some College,"(2000,3000]",0,4,56,0,Democrat
Adopter,California,65,50,0.181662272,175000,Graduate Degree,"(1000,1500]",0,3,68,0,Republican
Adopter,California,300,450,0.185312698,125000,Some College,"(2000,3000]",1,2,51,0,Republican
Adopter,New York,140,250,0.144799344,37500,High School or Less,"(0,1000]",0,1,41,0,Independent
Adopter,California,150,120,0.17516009,62500,Bachelor Degree,"(1500,2000]",1,3,57,0,Republican
Adopter,California,250,400,0.181662272,175000,Bachelor Degree,"(1500,2000]",0,2,50,0,Democrat
Adopter,California,165,100,0.181662272,37500,Bachelor Degree,"(1000,1500]",0,1,55,0,Republican
Adopter,California,200,350,0.170682681,87500,Some College,"(1000,1500]",0,4,65,1,Democrat
Adopter,California,250,450,0.170682681,125000,Bachelor Degree,"(2000,3000]",0,4,54,0,Republican
Adopter,California,185,650,0.182302849,87500,Bachelor Degree,"(2000,3000]",0,3,52,0,Independent
Adopter,California,100,400,0.170682681,250000,Bachelor Degree,"(1500,2000]",0,1,60,1,Democrat
Adopter,California,175,250,0.194651838,175000,Some College,"(2000,3000]",0,3,56,0,Republican
Adopter,California,200,320,0.185442682,125000,Some College,"(2000,3000]",0,2,57,0,Republican
Adopter,California,225,500,0.192908626,175000,Bachelor Degree,"(2000,3000]",0,3,37,0,Republican
Adopter,California,500,500,0.177295933,125000,Bachelor Degree,"(2000,3000]",0,3,55,0,Democrat
Adopter,California,150,350,0.181662272,62500,Graduate Degree,"(2000,3000]",0,2,62,1,Democrat
Adopter,California,65,95,0.194651838,87500,Graduate Degree,"(1500,2000]",0,1,63,1,Independent
Adopter,California,80,35,0.182273476,17500,Some College,"(1000,1500]",0,1,50,0,Independent
Adopter,California,300,600,0.181662272,175000,Bachelor Degree,"(2000,3000]",0,2,33,0,Republican
Adopter,New Jersey,150,160,0.139606699,125000,Some College,"(1000,1500]",1,2,45,0,Democrat
Adopter,California,90,75,0.183624927,37500,Graduate Degree,"(3000,4000]",0,4,80,1,Independent
Adopter,California,200,450,0.183624927,125000,Some College,"(2000,3000]",1,2,41,0,Independent
Adopter,California,180,350,0.170682681,62500,Some College,"(1000,1500]",0,2,69,1,Republican
Adopter,California,130,500,0.170682681,125000,Bachelor Degree,"(2000,3000]",1,2,51,0,Republican
Adopter,California,150,200,0.17516009,62500,Graduate Degree,"(1500,2000]",0,1,72,1,Democrat
Adopter,Arizona,78,250,0.184697327,37500,Some College,"(1000,1500]",1,2,27,0,Republican
Adopter,California,75,60,0.181662272,62500,High School or Less,"(2000,3000]",1,4,57,1,Democrat
Adopter,New York,140,100,0.136007146,87500,Some College,"(1500,2000]",0,3,57,0,Republican
Adopter,California,180,80,0.182273476,125000,Bachelor Degree,"(1500,2000]",0,2,37,0,Democrat
Adopter,California,120,180,0.194651838,87500,Some College,"(3000,4000]",1,4,43,0,Democrat
Adopter,California,180,180,0.183624927,175000,Bachelor Degree,"(1000,1500]",0,2,58,0,Independent
Adopter,California,100,160,0.177295933,125000,High School or Less,"(2000,3000]",0,2,57,0,Republican
Adopter,New Jersey,500,400,0.140733312,250000,Bachelor Degree,"(2000,3000]",0,4,63,0,Democrat
Adopter,California,350,500,0.170682681,175000,Some College,"(3000,4000]",1,3,53,0,Republican
Adopter,California,250,450,0.181662272,62500,Some College,"(1500,2000]",0,3,74,1,Republican
Adopter,California,200,250,0.172770336,87500,Bachelor Degree,"(1500,2000]",0,2,50,0,Independent
